category,title,description
Cameras and accessories,90 degree SVBONY Diagonal Mirror C prism. 1.25,"The 90 degree SVBony diagonal mirror C prism inverter 1.25 is an essential tool for astronomy enthusiasts and the observation of nature. Designed to offer a clear and precise visualization, this investment prism allows an observation experience without distortions, facilitating alignment and focus on celestial or terrestrial objects.  Manufactured by the renowned SVBony brand, the SV221 model stands out for its durability and optical quality. Its compact and light design makes it easy to transport, ideal for those who enjoy astronomy outdoors or on trips. In addition, its 1.25 -inch telescope compatibility makes it a versatile option for different configurations.  The mirror installation is simple, allowing users to enjoy an uncomplicated observation experience. With this prism, the finest details of the stars and landscapes become accessible, enriching each observation session.   Whether for fans or professionals, the SVBony diagonal mirror is an investment that improves the quality of observation and expands the possibilities of exploration. Do not miss the opportunity to raise your astronomical experience with this high quality product. Improved aluminum die allowing a greater light transmission, clearer vision. Diameter 1.25 "". It brings M28.5x0.6mm filter holder thread. Reflection surface: Aluminum cladding. Reflectivity:> 92%. Image orientation: Image Erect Mirror invested. Dviation angle: 90 ° Clear opening: 29.5 mm. Material: plastic and metal. Optical design: diagonal mirror. Net weight: 90.5 g. The package includes SV221 1.25 ""90 degrees Diagonal mirror.  Three M3 screws. Two dust caps."
Cameras and accessories,Nikon D5300 Kit Chamber with 2 lenses + accessories,Nikon D5300 camera with 2 lenses + complete accessories.  Conditions: - Equipment in excellent condition and working perfectly. It is sold for little use. - Without scratches or blows.  Includes: - Nikon D5300 body: Réflex camera with 24.2 MP CMO sensor and integrated Wi -Fi connection. - 18-250mm and 18-55mm
Cameras and accessories,Zhiyun crane-m2 hand cardan stabilizer 3 in 1 for,"What do you receive with your purchase?   ZHIYUN CRANE-M2 HAND Cardan Stabilizer 3 in 1 for DSLR cameras without a mirror of action, all in one of 3 axes Why buy with us?    All our products are new and original imported from the United States, we have delivery coverage throughout the country. You buy is protected! We offer 30 days of guarantee for any reason in all our products, the above is additional to the factory guarantee of each product.    DESCRIPTION: GRACTER CONTROL AND CONTROL COMPATIBLE camera: Sony Ilce-GF10KGK DC- Telephone: The most popular mobile phone in the market. (For more information, communicate with the Official Customer Service of ZHIYUN) * This table will be updated in accordance with the firmware update and is subject to changes without prior notice * You can handle a large useful load of 0.72 kg 1.58 lbs * For more information, see the installation manual added below before buying - Crane -M2 G - 720 g Mechanical range: 360 ° (Infinite rotation) Bluetooth: Bluetooth 4.2 Wi -Fi: 2.4 GHz battery capacity: 1100 mAh battery operation time: 7 h (laboratory data) Loading time: 2 h (laboratory data) Mechanical inclination range: 310 ° Mechanical Range of balancing: 324 ° Mechanical range: Unlimited rotation of 360 ° 360 Adjustable inclination angle: -45 ° ~ 260 ° adjustable balance angle: -70 ° ~ 70 ° (horizontal change vertically with an angle of 40 °) Adjustable turn angle: -180 ° ~ 180 ° Operating temperatures: -10? ~ 45? Standard package: 1 x crane -m2 1 x Transport case 1 x USB 3.0 at type -C cable 1 hand strap 1 tripod 1 Strew 1 camera support Der 1 x Quick release plate 1 x Important quick start guide: -Apidity in sending: Product available for international shipping -Sexory: Clarify all your doubts about compatibility in the questions, we are to serve you."
Cameras and accessories,Sony Handycam 60x Zoom NTSC - VIDEACAMARA WITH CASE,Excellent condition includes case battery charger RCA Video
Cameras and accessories,Instant photographic paper zink 2 x3 premium (package,"Zink Instant Papecographic Prémona 2 x 3 -inch (50 -packet) compatible with cameras and printers Polaroid Snap, Snap Touch, Zip and Mint, 50 units (1) high quality photographic paper: Turn moments into memorable photos with the photographic paper Zink Premium. Print 2 x 3 -inch photos to save precious memories and share vibrant images with your loved ones. This photographic role shows a remarkable color quality for impressions as wonderful as your memories. Simple printing technology: With Zink Zero Ink technology, this photographic role is easy to load, provides high quality impressions and does everything without waste, inks or toners. This reliable printing technology offers you impressive impressions at all times. Durable impressions for lasting memories: the photographic paper Zink Premium is designed to be spots proof, spotsproof, water resistant and strong against tears. Durable and resistant impressions last as much as the good memories that photographs. Adhesive paper: printing your image is just the beginning of creative fun. Remove the back to expose the adhesive side and add impressions to your photo wall, cuts album, daily and much more. Compatibility with multiple cameras: compatible only with 2 x 3 -inch polaroid printers and snapshot such as cameras and printers Polaroid Zip, Snap, Snap Touch and Mint.   Na Sku: B08YRZ4H2Z"
Cameras and accessories,Fujifilm Instax Mini 12 Instant House Blue EWS,"================================================================================================================================================= The published price includes all import and shipping costs to your home.  Buy 100% protected and safe shipping Your purchase is completely protected by Mercado Libre. In addition, with market ships, your request has follow -up from the moment it is dispatched until it reaches your hands, ensuring a safe and reliable purchase experience. Buy with total tranquility!  When you specify your purchase we will contact you to request your Cuil number with which we will make the formal import of it. We will send you a photo of the purchase when receiving it in our deposit in the United States, and another when we received it in Argentina. Your purchase will be delivered through market shipments. If you have any questions, leave us your question. ================================== Instant movie pack Fuji Instax Mini 70 Impressions/Leaves 2 AA Correa Pilas for the Digined Microfiber Cleaning Cleaning Wrist PHOTODS PHOTO LOVE 20 frame stalls of frame supplies Bag Bag with Cord Brochure of ideas Bright and automatic exhibition for any configuration: The instantaneous chamber ___ INSTAX Mini 12 capture effortless effortless photos well illuminated. The Fuji Instx Mini 12 chamber adjusts the shutter speed, the flash brightness and other adjustments to coincide with the environmental light, offering vivid and clear images without manual adjustments. Perfect for anyone looking for an easy -to -use snapshot camera to document daily memories or special occasions.  Foreground mode for perfect photos: change the foreground mode with a simple lens turn to achieve clear photos at distances from 30 to 19.7 in. ___ INSTAX MINI 12 It is ideal for capturing details in portraits or subjects of a dead nature, this mode focuses your subject precision on printing. Designed for creative photographers who want versatility in a compact instant chamber. Perfect for children, adolescents and adults, this instant chamber makes every moment special.  Mirror Table: Product dimensions: 2.6 x 4.8 x 4.09 inches country of origin: China =============================================================================== Enjoy the unique benefits offered by our Mundoatusmano service - Easy World Shipping. The published price includes all import and shipping costs to the door of your home.    Advantages of buying with Easy World Shipping Comfort and simplicity: Buy directly from the United States without worrying about customs procedures or logistics complications. We take care of the whole process to receive your product without additional efforts.    Monitoring and transparency: We want you to be aware of each step. Once you specify your purchase, we will assign you a personal accounts executive that will be asked for your Cuil number, necessary for formal importation. You will also be in contact continuously and you will keep you informed with photos of the product both when you receive it in our deposit in the United States and when you arrive in Argentina. Your tranquility is our priority.    Safe and fast delivery: We use shipments market to ensure quick and reliable delivery to the door of your house. We guarantee that your purchase will arrive in perfect condition and in the shortest possible time.    Add the hundreds of customers who trust us!   Do not hesitate to leave your question, we are here to attend and assure you an exceptional purchase experience.    With Delmundoatusmanos - Easy World Shipping, buy easy, fast and safe. Your satisfaction is our mission! ====================================== Voltage transformer 220V to 120V for products imported from the US if you have chosen the purchase of a product that connects to the current from the United States, it is essential to take into account that in Argentina the electric standard is 220-240V, while in the USA is 120V. To use your equipment safely, most likely you need a voltage transformer. We offer excellent quality transformers to all our customers at cost, and we also advise you in the post-sale, so you know what type of transformer you need. These adapters are totally safe and allow your product to work perfectly without risks. Connect it with confidence!"
Cameras and accessories,Symmetric infrared illuminator 96 LED 850 nm 80 mm resist,"Before buying this item, make sure that the CCD of your camera admits IR rays, some camera models do not admit IR rays, as a camera manufactured in 2004. Specifications: amount of LED: 96 Wavelength: 850 Nm Lighting range: wide visual angle of 60 levels Vision range: 80 m (outdoor), approximately 263 feet definition of power consumed power: 15 W (American plug) Features: - It considerably improves the performance of the cameras with little light, helps to produce a better image at night and in the dark - long -distance lighting of up to 80 m (263 feet) - Infrared lighting both indoors and outdoor - simple installation and operation - low energy consumption and long useful life - high technology to reduce heat - high quality aluminum and reinforced glass structure water. It works well even with bad weather. The package includes: 1 IR Dmetric LED lamp of 96 LEDs, 1 English user manual, 3 mounting screw games. Maintenance instructions: 1) Make sure there is no electricity before maintenance service. 2) Clean the lamp crystal regularly so that the lamp has a good quality of light admission. 3) Clean the dust of the lamp and the radiator regularly to maintain a good heat dissipation. Do not use a strong corrosive solution to clean the lamp. - Automatic switch - Integrated light sensor/CDS, the IR lighting will automatically light at night (available light less than 10 lux) and will turn off during the day (available light greater than 10 lux) - IP65 waterproof housing - High quality aluminum hous At first glance but they give a red shine - easy to install - the lamp comes with a U support, it can be installed directly with screws in the rods or on the mounting surface through the support holes, improves the night performance of the vision chamber: low energy dissipation LED and long duration. Infrared light will help produce a better image at night and in the dark. It works best with IP cameras and CCTV cameras"
Cameras and accessories,Kodak Pixpro Fz55-RD 16MP Zoom 5x EWS camera,"================================================================================================================================================= The published price includes all import and shipping costs to your home.  Buy 100% protected and safe shipping Your purchase is completely protected by Mercado Libre. In addition, with market ships, your request has follow -up from the moment it is dispatched until it reaches your hands, ensuring a safe and reliable purchase experience. Buy with total tranquility!  When you specify your purchase we will contact you to request your Cuil number with which we will make the formal import of it. We will send you a photo of the purchase when receiving it in our deposit in the United States, and another when we received it in Argentina. Your purchase will be delivered through market shipments. If you have any questions, leave us your question. =================================== 5X Optical Zoom LENS LENGLE OF 1,102 IN VIDEO Full HD 1080P VLOGGing Chamber SD card compatibility: At least Class 10, no more than 512 GB SD, SDHC, SDXC 2.7 2.7 Lithium ion RECARGABLE BATTERY CHARACTERISTICS TABLE OF CHARACTERISTICS: DESCRIPTION OF THE CHAMBER OBJECT: WIDE ANGLE. MYMEMETERS MINIMUM FOCAL DISTANCE: 5.1 millimeters Optical Zoom: 5 x Digital zoom: 6 x LENS Type: Great angular Real viewing angle: 72.8 degrees Processing Ready: 1 Rear camera resolution: 16 MP Image stabilization: Yes Optical sensor technology: CMOS Minimum opening: 1.8 millimeters maximum expandable iso: 12800 description of the flash Red eyes, filling flash, turned off, slow synchronization, red eyes reduction + Slow synchronization minimal expandable iso: 100 type of battery/battery: Lithium ion ion Continuous shot speed: 30 fps Is it electric?: Yes Image stabilization Type: Digital Audio recording: No maximum speed of the shutter: 1/2000 seconds Weight Drums Weight Compatible supports: Nikon Video recording resolution: 1080p Minimum shutter speed: 30 seconds Pilas Number: 1 C Necessary (s), including Special Features: Full HD 1080p Video, Vlogging Chamber, 5x Optical Zoom, great angle of 1,102 in, 16 MP CMOS sensor, lithium ions, image stabilization X high): 3.6 ""Prof. X 2.23 ""An. X 0.9"" al. Inch Maximum opening: 3.9 F-STOP Optical sensor size: 1/2.3-Inch Form Factor: Compact Automatic approach: Yes Type of focus: Automatic approach Autofocum technology: Against, sensor, multiple area, phase detection Type Flash memory type: SDHC Storage Capacity Memory: 63 MB USB ports: 1 Connection technology: Usb Night Vision: NO ZOOM Image capture Type: Fixed photographs and video Mode mode: Yes Shooting modes: Automatic Digital fixed image: Yes Memory card size included: 512 GB Box Content: camera, USB cable, CA adapter, Lithium ion battery, UPC Correa: --- Serial number: 55 Age Range Description: Adult Name Model Name: Fz55 friendly zoom FZ55-RD BATTERY/PILAS INCLUDED: Yes Screen Type: LCD Type of screen setting: Fixed Unit of screen size measurement: 2.7 inches Color screen: Yes Self-asparador: 10 seconds Type of Exhibition Control: Automatic, Manual White Balance Settings: Automatic, day light, cloud JPEG: fine Fixed Image Resolution: 16 Archive format: JPEG =================================================================================================="
Cameras and accessories,"Submarina Program Kids, 2024 update, resist","Product information: - Product: Program Kids Underwater Camera - 2024 Upgrade Waterproof ... - Brand: Program - Model: KD190 Features: Package content: If you need more information or you are looking for a particular product, make your consultation through this publication and one of our advisors will assist you.        Our products are new and original.        Shipping: From Miami, Florida, USA.        If I already perform your order, remember that you can contact us from the messaging of the platform. If you want to track the shipment, enter the purchase details.        Our schedule of attention is: Monday to Saturday, from 8:00 a.m. at 8:00 p.m. (Miami Time) Shipping Club participates in the Buy Protected Mercado Free Program"
Cameras and accessories,Professional tripod for selfies fogetk 62,"FUGETEK Professional Tripod for 62 -inch selfie, stable 4 -legged design, Bluetooth remote control, 100% stick aluminum and legs, light, laptop, all in one, compatible with iPhone and Android, non -slip feet tripod stripm for setic stick Improved model 2023 with new 4 -legged design: the last professional combo of tripod fongetek for selfie. First Selfie stick with 4 stable legs. Take non -wobble selfies or group photos with this reliable 4 -legged phone support. High quality bluetooth remote control updated by 2023: Take photos and videos up to 100 feet away, a culminating point of the industry. New simple operation with a button. Compatible with iPhone and Android. The remote control can be pressed 100,000 times = 100,000 photos. The remote waiting time is 3 to 5 years. Extensible 62 -inch telescopic length: Maximum extent of 62 inches, 64 inches with attached phone support. For unique photos and videos. Easy click locks, for fast and safe use. Multiángle rotation for creative shots: Choose horizontal or vertical camera modes with a 270 ° neck and 360 ° phone support rotation. Allows the best shooting and capture angles beautiful photos. Two gifts in one, for all ages: Palo selfie and tripod for the same price. Houston friendly customer service, TX since 2006. Na Sku: B0BQ6QYW4R"
"Music, movies and series",Velvet Underground & Nico Vinilo Nuevo Picture Disc,The Velvet Underground & Nico (Picture Disc Vinyl) Artist: The Velvet Underground Format: LP Release Date: 11/13/2015 LABEL: VINYL LOVERS UPC: 889397102296 Genre: Rock
"Music, movies and series",Charly Garcia - Cumbres works - 2 CDs News #CDSPARNAL,DOUBLE DOUBLE CD SELLING #CDSPARNAL
"Music, movies and series",Snow Queen VHS Adventures of Love and Tenderness,"Exclusive sale: VHS ""Snow Queen"" - Adventures of love and tenderness Collectors and lovers of classical animation!  I put on sale a jewel of entertainment in VHS format: ""Snow queen."" This lovely movie intertwines a warm love and tenderness story that has achieved the greatest praise of criticism and the applause of the children's audience in all latitudes.  Synopsis: The Snow Queen tells a magical and moving story with unforgettable characters that will capture the hearts of young and children. Follow the adventures of a group of characters while facing challenges and discover the true meaning of love and friendship.  Product characteristics: Format: VHS Duration: Approximately 50 minutes Genus: animation, adventure, romance State: Excellent, well cared for and without damages: illustrates several animated characters, including a white snow figure with extended arms and an old man with glasses and red coat, highlighting the quality and visual attraction of this edition.  Reasons to buy: Nostalgia and exclusivity: This film is a unique piece that will transport you to the magical moments of childhood. Ideal for collectors and fans of classical animated productions.  Emotional connection: The warm love and tenderness story will resonate deeply in the hearts of the spectators, creating a unique emotional connection.  Quality and authenticity: Original Product of Personal Video Library, guaranteeing the authenticity and quality of the tape.  Do not miss the opportunity to add this jewel to your collection. Buy now and enjoy the magic of ""Snow Queen"" with your loved ones!  Price: To consult shipping: Available for the whole country. Consultation for international options."
"Music, movies and series",PERIODDO VILLA VILLA STORAGE DVD EXCELLENT STATE USED,"Used excellent condition See photos of the publication We have many strange and rare movies and exhausted your consultation is welcome we are an online library from Villa Crespo with more than 30 years in the field. We realize searches for books of all kinds and advise on the books that interest you. As we operate: - If published is that it is available. - The offices per market shipments are made within 24hs. skilled after accredited your payment. - If by mistake a book that is no longer available is published, the total subscriber is reimbursed. The specimen that is delivered is the one published- is retired by Villa Crespo - Subte B -est. Angel Gallardo also shipping to the whole country"
